RegistrationNumber,binomial,Percent_overlap,binomial_overlap,Year,Continent,Country,Certainty,redlist,ecology,duplicates,duplicates_year,Decade,Extent_km
FMNH_32513,Manis pentadactyla,81.6130813234696,1,1929,Asia,Laos,75,CR,Terrestrial,0,0,1920,2.91
FMNH_32512,Manis pentadactyla,81.6130813234696,1,1929,Asia,Laos,75,CR,Terrestrial,1,1,1920,2.91
FMNH_39284,Manis pentadactyla,12.0616284208768,1,1929,Asia,Laos,75,CR,Terrestrial,0,0,1920,4.4
CAS_16619,Manis pentadactyla,16.301451771939,1,1960,Asia,Taiwan,75,CR,Terrestrial,0,0,1960,4.498
MSB_MSB:Mamm:13147,Manis pentadactyla,16.301451771939,1,1960,Asia,Taiwan,75,CR,Terrestrial,1,1,1960,4.498
FMNH_114387,Manis pentadactyla,11.0089410338511,1,1973,Asia,Nepal,75,CR,Terrestrial,0,0,1970,4.82
MVZ_MVZ:Mamm:125554,Manis pentadactyla,18.6655776903632,1,1959,Asia,Taiwan,75,CR,Terrestrial,0,0,1950,7.33
FMNH_75880,Manis pentadactyla,10.7194632653861,1,1953,Asia,India,75,CR,Terrestrial,0,0,1950,19.85
FMNH_75879,Manis pentadactyla,10.7194632653861,1,1952,Asia,India,75,CR,Terrestrial,1,0,1950,19.85
FMNH_75878,Manis pentadactyla,10.7194632653861,1,1952,Asia,India,75,CR,Terrestrial,1,1,1950,19.85
FMNH_75877,Manis pentadactyla,10.7194632653861,1,1952,Asia,India,75,CR,Terrestrial,1,1,1950,19.85
FMNH_75875,Manis pentadactyla,10.7194632653861,1,1953,Asia,India,75,CR,Terrestrial,1,1,1950,19.85
FMNH_75874,Manis pentadactyla,10.7194632653861,1,1953,Asia,India,75,CR,Terrestrial,1,1,1950,19.85
FMNH_84812,Manis pentadactyla,10.7194632653861,1,1954,Asia,India,75,CR,Terrestrial,1,0,1950,19.85
AMNH_M-59927,Manis pentadactyla,4.81871282370619,1,1923,Asia,China,75,CR,Terrestrial,0,0,1920,33.32
FMNH_39384,Manis pentadactyla,0,0,1925,Asia,China,75,CR,Terrestrial,0,0,1920,93.27
FMNH_39385,Manis pentadactyla,0,0,1921,Asia,China,75,CR,Terrestrial,0,0,1920,132.9
MHNG_MHNG-MAM-299.042,Manis pentadactyla,0,0,NA,Asia,India,75,CR,Terrestrial,0,0,NA,1200
MHNG_MHNG-MAM-769.034,Manis pentadactyla,0,0,NA,Asia,India,75,CR,Terrestrial,1,1,NA,1200
MHNG_MHNG-MAM-769.035,Manis pentadactyla,0,0,NA,Asia,India,75,CR,Terrestrial,1,1,NA,1200
FMNH_75876,Manis pentadactyla,0,0,NA,Asia,India,75,CR,Terrestrial,1,1,NA,1200
O_18153,Manis pentadactyla,0,0,NA,Asia,India,100,CR,Terrestrial,1,1,NA,1688.15
LSUMZ_35002,Manis pentadactyla,0,0,1984,Asia,China,100,CR,Terrestrial,1,0,1980,2824.1
MCZ_38281,Manis pentadactyla,5.5509212496035,1,1939,Asia,Vietnam,100,CR,Terrestrial,1,0,1930,31.27
O_18152,Manis pentadactyla,2.73852902579203,1,NA,Asia,China,50,CR,Terrestrial,0,0,NA,46.63
O_18151,Manis pentadactyla,2.73852902579203,1,NA,Asia,China,50,CR,Terrestrial,1,1,NA,46.63
CUMV_11091,Manis pentadactyla,2.65835676200931,1,1961,Asia,Taiwan,100,CR,Terrestrial,0,0,1960,46.74
USNM_355454,Manis pentadactyla,0,0,1960,Asia,Laos,100,CR,Terrestrial,0,0,1960,98.4
AMNH_M-184958,Manis pentadactyla,0,0,1960,Asia,Taiwan,100,CR,Terrestrial,0,0,1960,106.2
AMNH_M-184959,Manis pentadactyla,0,0,1960,Asia,Taiwan,100,CR,Terrestrial,1,1,1960,106.2
MNHN_MO-1868-1376,Manis pentadactyla,0,0,NA,Asia,China,100,CR,Terrestrial,0,0,NA,1013.49
USNM_240481,Manis pentadactyla,84.2541810423816,1,NA,Asia,Vietnam,25,CR,Terrestrial,0,0,NA,2.63
USNM_356431,Manis pentadactyla,9.64983007457184,1,1965,Asia,Vietnam,25,CR,Terrestrial,0,0,1960,3.54
FMNH_39388,Manis pentadactyla,19.7878890504289,1,1923,Asia,China,50,CR,Terrestrial,0,0,1920,5.035
FMNH_39387,Manis pentadactyla,19.7878890504289,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
FMNH_39386,Manis pentadactyla,19.7878890504289,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
FMNH_146075,Manis pentadactyla,19.8745652557569,1,1923,Asia,China,50,CR,Terrestrial,0,0,1920,5.035
AMNH_M-200533,Manis pentadactyla,19.8847032976644,1,NA,Asia,China,50,CR,Terrestrial,0,0,NA,5.035
AMNH_M-60017,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,0,1920,5.035
AMNH_M-60015,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60016,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60008,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60010,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60019,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60018,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60022,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60013,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60011,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60012,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60009,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60006,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60014,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
AMNH_M-60004,Manis pentadactyla,19.8847032976644,1,1922,Asia,China,50,CR,Terrestrial,1,0,1920,5.035
AMNH_M-60007,Manis pentadactyla,19.8847032976644,1,1923,Asia,China,50,CR,Terrestrial,1,1,1920,5.035
WNMU_WNMU:Mamm:1241,Manis pentadactyla,11.3640908701265,1,1967,Asia,Taiwan,75,CR,Terrestrial,0,0,1960,10.86
EMU_EMU M 250,Manis pentadactyla,11.3640908701265,1,NA,Asia,Taiwan,75,CR,Terrestrial,1,0,NA,10.86
ISM_690311,Manis pentadactyla,11.3640908701265,1,1960,Asia,Taiwan,75,CR,Terrestrial,1,0,1960,10.86
KU_83579,Manis pentadactyla,11.2099517407804,1,1960,Asia,Taiwan,75,CR,Terrestrial,0,0,1960,11.08
LACM_008227,Manis pentadactyla,26.693516490163,1,1945,Asia,China,50,CR,Terrestrial,0,0,1940,13.233
AMNH_M-173637,Manis pentadactyla,5.38630769748309,1,1956,Asia,Taiwan,50,CR,Terrestrial,0,0,1950,31.35
AMNH_M-60173,Manis pentadactyla,1.4500119077845,1,1925,Asia,China,75,CR,Terrestrial,0,0,1920,66.85
USNM_238735,Manis pentadactyla,0,0,1922,Asia,China,25,CR,Terrestrial,0,0,1920,93.71
MCZ_19992,Manis pentadactyla,0,0,1922,Asia,China,75,CR,Terrestrial,0,0,1920,96.65
FMNH_32697,Manis pentadactyla,1.44921375665865,1,1929,Asia,Vietnam,25,CR,Terrestrial,0,0,1920,356.79
AMNH_M-115628,Manis pentadactyla,0,0,1956,Asia,Taiwan,100,CR,Terrestrial,1,0,1950,212.06
LSUMZ_8916,Manis pentadactyla,0,0,1961,Asia,Taiwan,100,CR,Terrestrial,1,0,1960,212.06
ROM_1406120003,Manis pentadactyla,0,0,NA,Asia,Taiwan,100,CR,Terrestrial,1,1,NA,212.06
ROM_1406120004,Manis pentadactyla,0,0,NA,Asia,Taiwan,100,CR,Terrestrial,1,1,NA,212.06
MVZ_MVZ:Mamm:174854,Manis pentadactyla,0,0,1818,Asia,Taiwan,100,CR,Terrestrial,1,0,1810,212.06
AMNH_M-167959,Manis pentadactyla,20.3140454485538,1,1901,Asia,Thailand,75,CR,Terrestrial,0,0,1900,13.34
MCZ_35947,Manis pentadactyla,10.2797735503153,1,1937,Asia,Thailand,75,CR,Terrestrial,0,0,1930,21.67
MCZ_35957,Manis pentadactyla,10.2797735503153,1,1937,Asia,Thailand,75,CR,Terrestrial,1,1,1930,21.67
UMMZ_114843,Manis pentadactyla,0,0,NA,Asia,Thailand,25,CR,Terrestrial,0,0,NA,0.005
USNM_332898,Manis pentadactyla,5.14942643120957,1,1958,Asia,Taiwan,100,CR,Terrestrial,0,0,1950,32.187
USNM_310829,Manis pentadactyla,5.14942643120957,1,1958,Asia,Taiwan,100,CR,Terrestrial,1,1,1950,32.187
FMNH_46525,Manis pentadactyla,3.25000795944323,1,1937,Asia,Vietnam,75,CR,Terrestrial,0,0,1930,40.234
FMNH_46524,Manis pentadactyla,3.25000795944323,1,1937,Asia,Vietnam,75,CR,Terrestrial,1,1,1930,40.234
USNM_332899,Manis pentadactyla,0,0,1951,Asia,Taiwan,100,CR,Terrestrial,0,0,1950,226.92
USNM_311292,Manis pentadactyla,0,0,1958,Asia,Taiwan,100,CR,Terrestrial,1,0,1950,226.92
AMNH_M-185133,Manis pentadactyla,0,0,1959,Asia,Taiwan,100,CR,Terrestrial,1,0,1950,226.92
AMNH_M-33947,Manis pentadactyla,0,0,1910,Asia,Taiwan,100,CR,Terrestrial,1,0,1910,226.92
USNM_294178,Manis pentadactyla,0,0,1952,Asia,Taiwan,100,CR,Terrestrial,1,0,1950,226.92
USNM_294179,Manis pentadactyla,0,0,1952,Asia,Taiwan,100,CR,Terrestrial,1,1,1950,226.92
Royal Ontario Museum: ROM_0589,Manis pentadactyla,0,0,1967,Asia,Taiwan,100,CR,Terrestrial,1,0,1960,226.92
USNM_308865,Manis pentadactyla,0,0,NA,Asia,Taiwan,100,CR,Terrestrial,1,0,NA,226.92
USNM_308864,Manis pentadactyla,0,0,NA,Asia,Taiwan,100,CR,Terrestrial,1,1,NA,226.92
FMNH_32511,Manis pentadactyla,0,0,1929,Asia,Vietnam,100,CR,Terrestrial,1,0,1920,881.55
AMNH_M-60021,Manis pentadactyla,0,0,1923,Asia,China,100,CR,Terrestrial,1,0,1920,3004.96
AMNH_M-60020,Manis pentadactyla,0,0,1923,Asia,China,100,CR,Terrestrial,1,1,1920,3004.96
AMNH_M-60005,Manis pentadactyla,0,0,1923,Asia,China,100,CR,Terrestrial,1,1,1920,3004.96
AMNH_M-57059,Manis pentadactyla,0,0,1921,Asia,China,100,CR,Terrestrial,1,0,1920,3004.96
MNHN_MO-1962-61,Manis pentadactyla,0,0,NA,Asia,China,100,CR,Terrestrial,1,1,NA,3004.96
MNHN_MO-1913-729,Manis pentadactyla,0,0,NA,Asia,China,100,CR,Terrestrial,1,1,NA,3004.96
USNM_240168,Manis pentadactyla,0,0,1923,Asia,China,100,CR,Terrestrial,1,1,1920,3004.96
NHMUK_39.2647,Phataginus tetradactyla,37.882119004098,1,NA,Africa,Cameroon,50,VU,Arboreal,0,0,NA,3.82
NHMUK_39.4041,Phataginus tetradactyla,0,0,NA,Africa,W. Africa,100,VU,Arboreal,0,0,NA,1955.82
NHMUK_46.498,Phataginus tetradactyla,54.9485428962621,1,1945,Africa,Ghana,75,VU,Arboreal,0,0,1940,2.25
NHMUK_50.341,Phataginus tetradactyla,5.80801318651015,1,1939,Africa,Nigeria,50,VU,Arboreal,0,0,1930,35.71
NHMUK_1995.25,Phataginus tetradactyla,100,1,1994,Africa,Nigeria,75,VU,Arboreal,0,0,1990,0.03
NHMUK_1998.301,Phataginus tetradactyla,21.4092093352355,1,1994,Africa,Nigeria,50,VU,Arboreal,0,0,1990,3.25
NHMUK_1998.302,Phataginus tetradactyla,97.5428091846759,1,NA,Africa,Nigeria,25,VU,Arboreal,0,0,NA,0.03
NHMUK_1.11.21.35,Phataginus tetradactyla,47.7879877663271,1,1901,Africa,Equatorial Guinea,25,VU,Arboreal,0,0,1900,0.795
NHMUK_2.2.14.1,Phataginus tetradactyla,0,0,NA,Africa,Sierra Leone,100,VU,Arboreal,0,0,NA,188.72
NHMUK_29.4.17.23,Phataginus tetradactyla,71.3583438174775,1,1929,Africa,Gabon,25,VU,Arboreal,0,0,1920,2.04
NHMUK_35.10.22.150,Phataginus tetradactyla,98.5733591124953,1,NA,Africa,Ghana,25,VU,Arboreal,0,0,NA,1.91
NHMUK_35.10.22.157,Phataginus tetradactyla,98.5733591124953,1,1934,Africa,Ghana,25,VU,Arboreal,1,0,1930,1.91
NHMUK_4.3.27.1,Phataginus tetradactyla,25.7951284007675,1,NA,Africa,Nigeria,25,VU,Arboreal,0,0,NA,7.45
NHMUK_63.2.13.23,Phataginus tetradactyla,0,0,NA,Africa,W. Africa,75,VU,Arboreal,1,1,NA,1955.82
NHMUK_64.12.1.10,Phataginus tetradactyla,0,0,NA,Africa,W. Africa,100,VU,Arboreal,1,1,NA,1955.82
NHMUK_67.5.31.3,Phataginus tetradactyla,0,0,NA,Africa,W. Africa,100,VU,Arboreal,1,1,NA,1955.82
NHMUK_no reg 12,Phataginus tetradactyla,0,0,NA,Africa,W. Africa,100,VU,Arboreal,1,1,NA,1955.82
MHNG_MHNG-MAM-1497.041,Phataginus tetradactyla,57.3411901439674,1,NA,Africa,Ivory Coast,75,VU,Arboreal,0,0,NA,1.36
MHNG_MHNG-MAM-912.042,Phataginus tetradactyla,94.2483081792463,1,1955,Africa,Cameroon,75,VU,Arboreal,0,0,1950,1.76
MHNG_MHNG-MAM-912.043,Phataginus tetradactyla,94.2483081792463,1,1955,Africa,Cameroon,75,VU,Arboreal,1,1,1950,1.76
MHNG_MHNG-MAM-1494.074,Phataginus tetradactyla,29.2621683428596,1,NA,Africa,Ivory Coast,75,VU,Arboreal,0,0,NA,7.21
RBINS_9259,Phataginus tetradactyla,0,0,NA,Africa,Democratic Republic of the Congo,75,VU,Arboreal,0,0,NA,1646.07
RBINS_9258,Phataginus tetradactyla,0,0,NA,Africa,Democratic Republic of the Congo,75,VU,Arboreal,1,1,NA,1646.07
RBINS_9005,Phataginus tetradactyla,0,0,NA,Africa,Democratic Republic of the Congo,75,VU,Arboreal,1,1,NA,1646.07
RBINS_7994,Phataginus tetradactyla,0,0,1946,Africa,Democratic Republic of the Congo,75,VU,Arboreal,0,0,1940,1646.07
RBINS_6962,Phataginus tetradactyla,0,0,NA,Africa,Democratic Republic of the Congo,75,VU,Arboreal,0,0,NA,1646.07
RBINS_13019,Phataginus tetradactyla,0,0,NA,Africa,Democratic Republic of the Congo,75,VU,Arboreal,1,1,NA,1646.07
MHNG_MHNG-MAM-619.026,Phataginus tetradactyla,0,0,NA,Africa,Liberia,100,VU,Arboreal,0,0,NA,247.54
MHNG_MHNG-MAM-619.029,Phataginus tetradactyla,0,0,NA,Africa,Liberia,100,VU,Arboreal,1,1,NA,247.54
MNHN_MO-1990-48,Phataginus tetradactyla,77.0223989852526,1,1989,Africa,Gabon,25,VU,Arboreal,0,0,1980,5.46
MNHN_MO-1901-1135,Phataginus tetradactyla,26.4914398222022,1,NA,Africa,Ivory Coast,25,VU,Arboreal,0,0,NA,7.62
MNHN_MO-1958-193,Phataginus tetradactyla,36.5363848697898,1,1958,Africa,Gabon,25,VU,Arboreal,0,0,1950,7.79
MNHN_MO-1958-194,Phataginus tetradactyla,36.5363848697898,1,NA,Africa,Gabon,25,VU,Arboreal,1,0,NA,7.79
MNHN_MO-1962-1174,Phataginus tetradactyla,25.0440202251101,1,NA,Africa,Ivory Coast,50,VU,Arboreal,0,0,NA,7.91
MNHN_MO-1962-1173,Phataginus tetradactyla,25.0440202251101,1,NA,Africa,Ivory Coast,50,VU,Arboreal,1,1,NA,7.91
USNM_5142,Phataginus tetradactyla,21.0769910858062,1,NA,Africa,Ghana,25,VU,Arboreal,0,0,NA,8.09
MNHN_2005-243,Phataginus tetradactyla,45.6643469419342,1,1957,Africa,Central African Republic,25,VU,Arboreal,0,0,1950,9.9
USNM_218835,Phataginus tetradactyla,20.5543857830411,1,1917,Africa,Gabon,75,VU,Arboreal,0,0,1910,15.46
AMNH_M-89399,Phataginus tetradactyla,100,1,1940,Africa,Ivory Coast,100,VU,Arboreal,0,0,1940,0.258
USNM_220402,Phataginus tetradactyla,11.0374363078555,1,1918,Africa,Gabon,100,VU,Arboreal,0,0,1910,25.51
MNHN_MO-1985-103,Phataginus tetradactyla,5.80234787834629,1,NA,Africa,Republic of the Congo,25,VU,Arboreal,0,0,NA,35.65
MNHN_MO-1985-102,Phataginus tetradactyla,5.80234787834629,1,NA,Africa,Republic of the Congo,25,VU,Arboreal,1,1,NA,35.65
USNM_481807,Phataginus tetradactyla,6.22992575300913,1,1971,Africa,Liberia,100,VU,Arboreal,0,0,1970,25
USNM_481805,Phataginus tetradactyla,6.22992575300913,1,1971,Africa,Liberia,100,VU,Arboreal,1,1,1970,25
USNM_481806,Phataginus tetradactyla,6.22992575300913,1,1971,Africa,Liberia,100,VU,Arboreal,1,1,1970,25
MNHN_MO-1872-140,Phataginus tetradactyla,3.28155818876215,1,NA,Africa,Ghana,100,VU,Arboreal,0,0,NA,380.2
MNHN_MO-1942-189,Phataginus tetradactyla,0,0,NA,Africa,Ivory Coast,100,VU,Arboreal,0,0,NA,439.02
MNHN_MO-1988-268,Phataginus tetradactyla,0,0,NA,Africa,Ivory Coast,100,VU,Arboreal,1,1,NA,439.02
MNHN_MO-1962-60,Phataginus tetradactyla,0,0,NA,Africa,Central African Republic,100,VU,Arboreal,0,0,NA,777.06
MNHN_MO-1985-101,Phataginus tetradactyla,0,0,NA,Africa,Central African Republic,100,VU,Arboreal,1,1,NA,777.06
NHMUK_39.2645,Phataginus tricuspis,0,0,NA,Africa,Congo,75,EN,Arboreal,0,0,NA,101.46
NHMUK_46.499,Phataginus tricuspis,63.9663502025098,1,1945,Africa,Ghana,75,EN,Arboreal,0,0,1940,2.25
NHMUK_46.5,Phataginus tricuspis,63.9663502025098,1,1865,Africa,Ghana,75,EN,Arboreal,1,0,1860,2.25
NHMUK_46.888,Phataginus tricuspis,99.9852771049033,1,1945,Africa,Sierra Leone,25,EN,Arboreal,0,0,1940,0.892
NHMUK_46.914,Phataginus tricuspis,63.9663502025098,1,NA,Africa,Ghana,75,EN,Arboreal,1,0,NA,2.25
NHMUK_46.915,Phataginus tricuspis,63.9663502025098,1,1946,Africa,Ghana,75,EN,Arboreal,1,0,1940,2.25
NHMUK_46.916,Phataginus tricuspis,63.9663502025098,1,1946,Africa,Ghana,75,EN,Arboreal,1,1,1940,2.25
NHMUK_48.132,Phataginus tricuspis,69.4871534139602,1,1932,Africa,Cameroon,50,EN,Arboreal,0,0,1930,5
NHMUK_48.1321,Phataginus tricuspis,91.0665312893423,1,1932,Africa,Cameroon,25,EN,Arboreal,0,0,1930,2.02
NHMUK_48.1322,Phataginus tricuspis,91.0665312893423,1,1932,Africa,Cameroon,25,EN,Arboreal,1,1,1930,2.02
NHMUK_48.1323,Phataginus tricuspis,91.0665312893423,1,1932,Africa,Cameroon,25,EN,Arboreal,1,1,1930,2.02
NHMUK_48.1324,Phataginus tricuspis,91.0665312893423,1,1933,Africa,Cameroon,25,EN,Arboreal,1,0,1930,2.02
NHMUK_48.1325,Phataginus tricuspis,91.0665312893423,1,1932,Africa,Cameroon,25,EN,Arboreal,1,1,1930,2.02
NHMUK_48.1326,Phataginus tricuspis,91.0665312893423,1,NA,Africa,Cameroon,25,EN,Arboreal,1,0,NA,2.02
NHMUK_48.1327,Phataginus tricuspis,51.9478193037414,1,NA,Africa,Cameroon,50,EN,Arboreal,0,0,NA,8
NHMUK_48.1328,Phataginus tricuspis,26.6503215109042,1,NA,Africa,Cameroon,50,EN,Arboreal,0,0,NA,23
NHMUK_48.1329,Phataginus tricuspis,26.6503215109042,1,NA,Africa,Cameroon,50,EN,Arboreal,1,1,NA,23
NHMUK_48.133,Phataginus tricuspis,26.6503215109042,1,NA,Africa,Cameroon,50,EN,Arboreal,1,1,NA,23
NHMUK_48.1331,Phataginus tricuspis,26.6503215109042,1,NA,Africa,Cameroon,50,EN,Arboreal,1,1,NA,23
NHMUK_48.1332,Phataginus tricuspis,26.6503215109042,1,NA,Africa,Cameroon,50,EN,Arboreal,1,1,NA,23
NHMUK_50.2066,Phataginus tricuspis,0,0,1946,Africa,Sierra Leone,100,EN,Arboreal,0,0,1940,188.72
NHMUK_51.333,Phataginus tricuspis,14.9491799877004,1,1949,Africa,Sierra Leone,50,EN,Arboreal,0,0,1940,10.66
NHMUK_56.61,Phataginus tricuspis,88.6766223026491,1,1955,Africa,Sierra Leone,25,EN,Arboreal,0,0,1950,2.4
NHMUK_59.269,Phataginus tricuspis,2.88224172203489,1,1952,Africa,Sierra Leone,75,EN,Arboreal,0,0,1950,81.78
NHMUK_66.3562,Phataginus tricuspis,62.4944697023218,1,1965,Africa,Cameroon,25,EN,Arboreal,0,0,1960,2.42
NHMUK_69.505,Phataginus tricuspis,41.6254882613851,1,NA,Africa,Uganda,100,EN,Arboreal,0,0,NA,3.95
NHMUK_76.1813,Phataginus tricuspis,99.9954887247372,1,1971,Africa,Ghana,50,EN,Arboreal,0,0,1970,0.7
NHMUK_79.2034,Phataginus tricuspis,0,0,NA,Africa,Central African Republic,100,EN,Arboreal,0,0,NA,787.84
NHMUK_1996.314,Phataginus tricuspis,100,1,1995,Africa,Nigeria,75,EN,Arboreal,0,0,1990,0.03
NHMUK_1999.1,Phataginus tricuspis,24.5643380756544,1,NA,Africa,Nigeria,50,EN,Arboreal,0,0,NA,21.74
NHMUK_1999.101,Phataginus tricuspis,24.5643380756544,1,NA,Africa,Nigeria,50,EN,Arboreal,1,1,NA,21.74
NHMUK_1999.115,Phataginus tricuspis,0,0,1963,Africa,Nigeria,100,EN,Arboreal,0,0,1960,756.06
NHMUK_1999.116,Phataginus tricuspis,0,0,NA,Africa,Nigeria,100,EN,Arboreal,1,0,NA,756.06
NHMUK_1999.117,Phataginus tricuspis,0,0,NA,Africa,Nigeria,100,EN,Arboreal,1,1,NA,756.06
NHMUK_1999.118,Phataginus tricuspis,0,0,NA,Africa,Nigeria,100,EN,Arboreal,1,1,NA,756.06
NHMUK_1999.119,Phataginus tricuspis,0,0,NA,Africa,Nigeria,100,EN,Arboreal,1,1,NA,756.06
NHMUK_1999.12,Phataginus tricuspis,0,0,NA,Africa,Nigeria,100,EN,Arboreal,1,1,NA,756.06
NHMUK_1999.121,Phataginus tricuspis,0,0,NA,Africa,Nigeria,100,EN,Arboreal,1,1,NA,756.06
NHMUK_1999.122,Phataginus tricuspis,0,0,NA,Africa,Nigeria,100,EN,Arboreal,1,1,NA,756.06
NHMUK_1999.91,Phataginus tricuspis,24.5643380756544,1,NA,Africa,Nigeria,50,EN,Arboreal,1,1,NA,21.74
NHMUK_1999.92,Phataginus tricuspis,24.5643380756544,1,NA,Africa,Nigeria,50,EN,Arboreal,1,1,NA,21.74
NHMUK_1999.93,Phataginus tricuspis,24.5643380756544,1,NA,Africa,Nigeria,50,EN,Arboreal,1,1,NA,21.74
NHMUK_1999.95,Phataginus tricuspis,24.5643380756544,1,NA,Africa,Nigeria,50,EN,Arboreal,1,1,NA,21.74
NHMUK_1999.96,Phataginus tricuspis,24.5643380756544,1,NA,Africa,Nigeria,50,EN,Arboreal,1,1,NA,21.74
NHMUK_1999.97,Phataginus tricuspis,24.5643380756544,1,NA,Africa,Nigeria,50,EN,Arboreal,1,1,NA,21.74
NHMUK_1999.99,Phataginus tricuspis,24.5643380756544,1,NA,Africa,Nigeria,50,EN,Arboreal,1,1,NA,21.74
NHMUK_10.6.11.4,Phataginus tricuspis,74.1759379663968,1,NA,Africa,Ghana,25,EN,Arboreal,0,0,NA,2.96
NHMUK_11.6.2.18,Phataginus tricuspis,74.1759379663968,1,NA,Africa,Ghana,25,EN,Arboreal,1,1,NA,2.96
NHMUK_12.10.28.58,Phataginus tricuspis,4.17260978308824,1,1911,Africa,Nigeria,75,EN,Arboreal,0,0,1910,64.35
NHMUK_12.12.3.1,Phataginus tricuspis,98.0295506731327,1,NA,Africa,Congo,25,EN,Arboreal,0,0,NA,0.914
NHMUK_12.12.3.2,Phataginus tricuspis,9.00434504336635,1,NA,Africa,Congo,100,EN,Arboreal,0,0,NA,340.5
NHMUK_19.5.8.163,Phataginus tricuspis,99.781956997397,1,1914,Africa,Congo,25,EN,Arboreal,0,0,1910,1.22
NHMUK_19.5.8.164,Phataginus tricuspis,99.781956997397,1,1914,Africa,Congo,25,EN,Arboreal,1,1,1910,1.22
NHMUK_22.12.19.38,Phataginus tricuspis,0,0,NA,Africa,Congo,100,EN,Arboreal,0,0,NA,257.73
NHMUK_28.9.8.37,Phataginus tricuspis,26.438948405707,1,1928,Africa,Uganda,100,EN,Arboreal,0,0,1920,17.805
NHMUK_29.5.29.39,Phataginus tricuspis,6.37941582007306,1,NA,Africa,Ghana,100,EN,Arboreal,0,0,NA,385.52
NHMUK_29.5.29.40,Phataginus tricuspis,6.37941582007306,1,NA,Africa,Ghana,100,EN,Arboreal,1,1,NA,385.52
NHMUK_34.11.18.9,Phataginus tricuspis,97.3234976682142,1,NA,Africa,Congo,25,EN,Arboreal,0,0,NA,1.75
NHMUK_34.6.2.92,Phataginus tricuspis,32.914924837587,1,NA,Africa,Uganda,25,EN,Arboreal,0,0,NA,3.82
NHMUK_34.6.2.93,Phataginus tricuspis,32.914924837587,1,1933,Africa,Uganda,25,EN,Arboreal,1,0,1930,3.82
NHMUK_34.6.2.94,Phataginus tricuspis,32.914924837587,1,NA,Africa,Uganda,25,EN,Arboreal,1,1,NA,3.82
NHMUK_34.6.2.95,Phataginus tricuspis,32.914924837587,1,NA,Africa,Uganda,25,EN,Arboreal,1,1,NA,3.82
NHMUK_34.6.2.96,Phataginus tricuspis,32.914924837587,1,NA,Africa,Uganda,25,EN,Arboreal,1,1,NA,3.82
NHMUK_34.6.2.97,Phataginus tricuspis,32.914924837587,1,NA,Africa,Uganda,25,EN,Arboreal,1,1,NA,3.82
NHMUK_34.6.2.98,Phataginus tricuspis,32.914924837587,1,NA,Africa,Uganda,25,EN,Arboreal,1,1,NA,3.82
NHMUK_34.6.2.99,Phataginus tricuspis,32.914924837587,1,NA,Africa,Uganda,25,EN,Arboreal,1,1,NA,3.82
NHMUK_35.10.22.155,Phataginus tricuspis,79.0660201001749,1,1935,Africa,Ghana,25,EN,Arboreal,0,0,1930,2.97
NHMUK_35.10.22.156,Phataginus tricuspis,98.5752489352175,1,1934,Africa,Ghana,25,EN,Arboreal,0,0,1930,1.91
NHMUK_4.6.9.14,Phataginus tricuspis,63.9663502025098,1,1846,Africa,Ghana,75,EN,Arboreal,1,0,1840,2.25
NHMUK_43.2.23.2,Phataginus tricuspis,0,0,NA,Africa,W. Africa,100,EN,Arboreal,0,0,NA,1955.82
NHMUK_46.5.13.18,Phataginus tricuspis,0,0,NA,Africa,W. Africa,100,EN,Arboreal,1,1,NA,1955.82
NHMUK_48.7.11.5,Phataginus tricuspis,0,0,NA,Africa,W. Africa,100,EN,Arboreal,1,1,NA,1955.82
